,Comment,Climate
14,"Til herre Per Clausen: Realiteten i EU's udmelding er jo, at EU siger 20 procent i 2020. Men under forudsætning af at der bliver en ambitiøs international klimaaftale, at den øvrige del af verden også er parat til at påtage sig et ansvar for at reducere udledningerne af CO 2  på et højt niveau, så er EU parat til at bevæge sig fra 20 til 30 procent Men det er ikke bare en blankocheck, vi udskriver. Det forudsætter jo, at resten af verden også påtager sig et ansvar, så EU ikke står alene med at løse klimaudfordringen. ",1
15,"Dansk Folkeparti er meget interesseret i, at vi bliver uafhængige af fossile brændstoffer fra den store verden, olie fra Mellemøsten og gas fra for eksempel Rusland og andre steder. Det er vi utrolig interesseret i, og vi vil til enhver tid støtte udviklingen af nye grønne teknologier. Det har vi også fremført flere gange, blandt andet fordi vi kan se, at der er store muligheder netop i at skabe grønne job og støtte den grønne industri. Jeg kan slet ikke se, at det, at vi roser regeringen og embedsværket og politiet og hjemmeværnsfolkene for, at de har givet basis for, at vi har kunnet gennemføre så god en COP15, har noget at gøre med, at vi ikke tager et ansvar for en grøn udvikling. Det gør vi bestemt. ",0
16,"Jeg kan ikke se, at det, jeg lige har sagt, skulle hindre et mindre forbrug af fossile brændstoffer, og jeg kan slet ikke forstå udsagnet om, at vi tager det fra en grøn industri og fører det over til noget diffust. Jeg er helt sikker på, at fru Anne Grete Holmsgaard ved alt om, hvad der rører sig på de grønne områder i forbindelse med nye ideer og nye tanker, så det var sådan set bare noget politikersnak herinde. Vi vil ikke udsætte reduktionen af forbruget, men vi vil lade reduktionen ske på den måde, at de nye teknologier i sig selv medfører et mindre forbrug, frem for at man sætter en eller anden fiktiv dato og siger, at for eksempel den 31. december 2010, 2011 eller 2012 reducerer vi lige pludselig olieforbruget til halvdelen. Det kan man jo ikke. ",0
17,"Med hensyn til udledningen fra dansk landbrug skal man jo ikke tage fejl af, at i forbindelse med »Grøn Vækst« er der altså lagt op til en reduktion på 19.000 t. Så det er altså helt forkert at sige, at dansk landbrug bare får lov til at svine, som det har lyst til. Det har dansk landbrug bestemt ikke lov til, og der bliver strammet meget op, i forhold til hvordan man bruger sin husdyrgødning fremadrettet. Der er store udfordringer på det område for at få det til at virke, men det skal nok lykkes, og dansk landbrug er rigtig godt, også i forhold til miljøet. ",1
18,"Jeg forstår sådan set godt logikken i Dansk Folkepartis argumentation. Dansk Folkeparti er modstander af, at man skal reducere CO 2 -udledningen; desto mere CO 2 -forurening, desto bedre for verden. Og derfor skal man selvfølgelig heller ikke indføre en skat, der kan reducere CO 2 -udledningen, det er klart. Men det, jeg vil spørge om, er: Hvad er Dansk Folkepartis holdning, når argumentationen er, at ikke alle lande er med? Hvad vil Dansk Folkepartis holdning så være til de anbefalinger, der kommer ud af G20-topmødet? For der kan vi jo godt sige at det ikke er alle lande, der er med i sidste ende. Vil Dansk Folkeparti gå imod dem? Er det sådan, at Dansk Folkeparti allerede i dag kan tage afstand fra det resultat, der vil komme ud af G20-topmødet i juni 2010? ",0
19,"Nu må jeg jo sige, at vores stillingtagen til, hvad man finder ud af på G20-møder, kommer an på, hvad det materielle indhold er, og ikke på, om det er G20-beslutninger eller forhandlingsresultater. Så må jeg også sige, at vi jo kommer meget vidt omkring i den her diskussion. Jeg var ret overrasket over at skulle høre, at det her var en CO 2 -reducerende skat – det ved jeg ikke hvordan den bliver. Selvfølgelig kunne man bruge provenuet på noget, som kunne reducere CO 2 -udledningen, men det er da ikke nogen CO 2 -reducerende skat, og jeg synes godt nok, at vi kommer vidt omkring, hvis vi også skal til at diskutere klimapolitik i den her kreds af skatteordførere. ",1
20,"Det vil sige, at vi er røget længere ned end til en 32. plads, hvis det er sådan, at det her står til troende, når de ting har talt for, at vi sådan set har en forbedring. For jeg er helt enig med ministeren i, at der ikke er tale om, at der er en forbedring af biodiversiteten, som undersøgelsen viser. Men ministeren bekræfter, at det faktisk står meget, meget værre til, end undersøgelsens konklusion med hensyn til vores placering viser. Derfor er det, jeg igen spørger: Synes ministeren, at han med sandfærdighed over for Folketinget kan understrege, at der er udvist rettidig omhu, og jeg taler her ikke bare om den nuværende minister, men også om den tidligere minister? ",0
21,"Det ved jeg ikke. Jeg ved heller ikke, om det vil fremme det mål, SF vil fremme. Når jeg går ind på Rejseplanen, er det, fordi jeg har besluttet mig for, at jeg skal et eller andet sted hen med kollektive trafikmidler, og hvis planen så pludselig opfordrer mig til at tage bilen og måske også til lige at tage naboen eller en henne fra nabovejen med, så er det slet ikke det mål, som SF gerne vil frem til, nemlig mindre CO 2 -udledning, man kommer frem til på den her måde. Så jeg ved umiddelbart ikke, om jeg synes, det ville være en god idé. ",0
22,"2010, altså i år, er jo året, hvor vi skulle have standset tilbagegangen i biodiversitet. Det er en stor opgave, og det er ikke lykkedes. Det er heller ikke lykkedes for så mange andre lande, men det er altså en stor opgave. Så man kunne jo godt undre sig over, at et så vigtigt område som § 3-beskyttelsen, altså naturbeskyttelsen af de områder, som EU ikke passer på for os, først tages op nu, 9 år efter regeringen kom til og samme år, som den skal leve op til kravet om at standse tilbagegangen i biodiversitet. Er det rettidig omhu? ",0
23,"Der har kontinuerligt været flere tiltag, og jeg synes, det også er vigtigt at fastholde ansvaret. Det er jo kommunernes ansvar at håndhæve det her. Jeg har nævnt flere konservative tiltag på miljøområdet, som også har været med til at styrke biodiversiteten. Jeg synes, det må stå klart for enhver, at der har vi faktisk været med til at give et løft. Men jeg vil så også sige, at de resultater ser man jo ikke lige fra den ene dag til den anden. Det sker over en længere årrække. Jeg hilser med stor tilfredshed – det synes jeg måske egentlig man skulle kvittere for, også i SF – at den her undersøgelse bliver iværksat, og jeg anerkender også den problemstilling, at vi mangler viden. Det synes jeg egentlig også at oppositionen burde anerkende. ",1
24,"Nu anede det mig nok, at statsministeren ikke ville ønske at svare på det spørgsmål. Så derfor vil jeg spørge, om det forhold, der har udviklet sig mellem Statsministeriet og Klimaministeriet, på noget tidspunkt har berørt, hvorvidt Danmark kommer til at købe udledningstilladelser uden for landets grænser, for så vidt angår CO 2 . Jeg spørger sådan set, fordi jeg tror, det vil være et stærkt signal op til klimatopmødet at sige: Vi har under alle omstændigheder  ikke  tænkt os at løse vores reduktionsforpligtelse ved at købe aflad uden for landets grænser. Og jeg tror så også, helt afset fra det, at det vil være vanskeligt at forklare danske skatteydere, at man skulle bruge skattepenge på det. ",1
25,"Først vil jeg starte med at takke ministeren for både den skriftlige og den mundtlige redegørelse. Den skriftlige synes jeg er letforståelig og letlæselig, og som en af ordførerne var inde på, har den tidligere været et digert værk, der kunne være lidt svært at forstå. Til gengæld er jeg faldet over en lille passus om ligestilling, som jeg gerne vil bede ministeren uddybe en lille smule og måske forklare, hvilket niveau vi ligger på. Det er den, hvor der står, at ministeren for ligestilling på vegne af de nordiske ligestillingsministere har sat fokus på køn og klimaforandringer med udgangspunkt i følgende: Kvinder og mænd påvirker miljøet forskelligt, og de to køn påvirkes forskelligt af klimaforandringerne. Jeg vil bare vide, om man kan få forklaret, hvilket niveau vi diskuterer det på. ",0
26,"Der er ingen tvivl om, at hvis vi skal have det her til at fungere og skal udnytte den større andel af vedvarende energi, der kommer i vores elnet, skal vi have transportsektoren involveret, og derfor synes jeg, det ville være lidt spændende, hvis ministeren kunne sige her, at der kommer initiativer, der kan være med til både at sikre, at der kommer en infrastruktur, som kan udbrede elbiler geografisk i Danmark, og at der også kommer et incitament i forhold til elbilerne, så man også på længere sigt kan se en fordel i at investere i dem. Kunne vi her få en lille uddybning af, hvilke tanker ministeren gør sig inden for transportområdet angående elbiler og måske elektrificering af den kollektive transport? ",1
27,"Jeg kan forstå, at ministeren er glad for, at man har fundet et internationalt miljømærke, som alle danske fiskere, der overholder lovgivningen, kan blive omfattet af. Det kan man da også være glad for, men hvorfor vil fødevareministeren ikke derudover være med til at hjælpe nogle af de fiskere, som bruger nogle redskaber, som er ekstra skånsomme, og som fisker på en måde, der bruger mindre brændstof, end andre gør? Hvorfor vil ministeren ikke være med til at hjælpe dem til at få et mærke, der klart sender  det  signal? Altså, hvad er forklaringen på, at ministeren ikke vil hjælpe dem, der går i spidsen i forhold til at tage hensyn til miljøet, også i forhold til andre danske fiskere? ",0
28,"Jeg kan forstå på herre Bjarne Laustsens spørgsmål og tale, at herre Bjarne Laustsen ikke har opdaget, at vi har haft en brændstofspakke, så der er kommet meget mere energirigtige motorer i mange fiskerbåde, og dermed kan vi sige, at forbruget af energi til at fange fiskene er meget anderledes, end det var før. Der er sket meget på det område. Man kan også se, at det er gået helt forbi herre Bjarne Laustsens opmærksomhed, at de både, der sejler længere ud på havet, og som ikke alle sammen er blå som i herre Touborgs terminologi, foretager både rensning og pakning og frysning, og når fiskene kommer ind, er de jo næsten ligeså gode som dem, man måske har trukket op lidt ude i havet. ",0
29,"Jeg vil gerne spørge ordføreren, om der slet ikke er noget, man vil være med til at diskutere. Man er bare tilfreds med alt det, som branchen selv finder på. Forbrugernes synspunkter skal vel også vægte i den her sag. Derfor vil jeg gerne spørge: Er Dansk Folkeparti fuldstændig ligeglad med, hvad det er for nogle redskaber, man fisker med, eksempelvis bomtrawlere? Er man også fuldstændig ligeglad med, hvor meget brændstof de bruger for at fange et bestemt kilo fisk? ",0
30,"Jeg hører ministerens svar sådan, at man godt kunne have brugt de 400 million kroner på en sådan måde, at vi var blevet fri for endnu flere fossile brændsler end det, vi bliver med den måde, som regeringen, Venstre, Konservative og Dansk Folkeparti nu har aftalt. Mit spørgsmål er på den baggrund så: Hvis ministeren havde været minister dengang, da man indgik finanslovaftalen, havde klima- og energiministeren så arbejdet for, at de 400 million kroner ville være blevet anvendt på en sådan måde, at vi havde fået den maksimale effekt for at gøre det her land uafhængigt af fossile brændsler, altså den maksimale effekt for at reducere vores CO 2 -udslip, i modsætning til den løsning, der faktisk er kommet ud af finanslovaftalen? ",1
31,"Jeg forstod på ordføreren, at det var sådan en helt grundlæggende præmis, som ordføreren var uenig i, og at han derfor afviste forslaget. Altså, klimaforandringerne er her – det forstod jeg at vi er enige om. Vi er bare ikke enige om, hvorvidt mennesker har haft noget at gøre med, at de klimaforandringer er der. 99 procent af verdens forskere og FN's klimapanel siger, at her har vi et problem, som for den største del af det er menneskeskabt, og der må jeg bare spørge: Hvor var Dansk Folkeparti henne, da alle de rapporter blev offentliggjort? ",0
32,"Nu har vi jo sådan set ikke en plads i IPCC, men havde vi haft det, ville vi selvfølgelig have fremført vores argumenter. Og en af årsagerne til, at der ikke i det panel er forskere, som har en kritisk tilgang til det, er jo, at IPCC er oprettet udelukkende med det formål at afklare, hvorfor klimaændringerne er menneskeskabte. Så det betyder jo, at der ikke har været nogen kritisk tilgang i det pågældende panel fra andre forskere, som har andre modeller for, hvad årsagerne til klimaforandringerne er. ",0
33,"Nu startede herre Lars Christian Lilleholt med at sige: Når eksperterne siger sådan, så gør vi sådan. Men det gælder altså ikke Klimakommissionen. Hvis de nu siger, at Danmark fint kan være fri af fossile brændsler i 2050, eller hvis de nu siger, at de kan være ude af vores varmeforsyning i 2035, er det så ikke det, Venstre gør til sin politik? Eller duer eksperterne ikke, når det er sådan, at det ikke harmonerer helt med, hvad man synes er sjovt? ",1
34,"Tak for det. Forslaget her handler om, at Socialdemokraterne nu vil bruge 400 million kroner over de kommende år til at etablere 20.000 ladestationer og 2.000 lynladestationer. Jeg synes, det er meget vigtigt, at vi handler med forsigtighed og gør det rigtige på det her område. Vi kender ikke teknologien endnu, i forhold til hvad de store bilselskaber vil vælge angående opladning af elbiler, og det er også helt afgørende, at vi vælger en infrastruktur, der gør, at vi tænker vedvarende energi ind i vores elbiler. Det er jo en helt afgørende forudsætning, og det er overhovedet ikke tænkt ind i det her forslag, og derfor må Venstre afvise det. ",0
35,"Der er jo ingen tvivl om, at eftersom det her er det helt rette valg i forhold til at gøre noget for dem, der har behov for at bruge trafikken og transporten for at komme på arbejde eller bare pendler af andre grunde, er det jo klart, at det her gør vi ikke, fordi vi har en forventning om, at ingen benytter det. Men det, som jeg synes er meget vigtig at vi gør i den her sammenhæng, er, at vi passer på, at vi ikke får løse ender til at hænge i luften, såsom hvad en stigning i grunden er. Må jeg ikke minde om, at det jo er en relativt meget beskeden stigning i CO 2 -udledningen, der svarer til 0,16 procent, i forhold til hvis man ikke udvidede motorvejen. Det synes jeg faktisk er et rigtig godt valg at træffe. ",0
36,"Men vi står jo i den situation nu, at vi i EU-landene – også i Danmark – har et CO 2 -udslip, der er alt for stort. Vi har også et ressourceforbrug, der er alt for stort i forhold til det, der er plads til, hvis vi skal have en eller anden form for økologisk balance bare på halvlang sigt. I den situation må ministeren vel være enig med mig i, at det ikke er udtryk for høje ambitioner, at man henviser til fortidens bedrifter og til det langsigtede mål, men at det afgørende er, hvad man vil gøre de næste 10 år for at reducere CO 2 -udslippet, så man kan stoppe de accelererende klimaforandringer, der er på vej. Det var vel det, der ville karakterisere en ambitiøs politik, hvis man havde et bud på det. ",1
37,"Tak. Jeg vil godt lige bide mig lidt fast i dette, at det netop er en strategi. Vi har jo tidligere fået lagt en række strategier, som har haft større eller mindre held. Vi havde også en strategi, der handlede om, at vi skulle opnå nogle målsætninger for biodiversitet her i 2010, som jo absolut ikke er opfyldt. Så vi er meget optaget af, hvordan vi kan sikre, at dette ikke bare bliver ved ordene, men at vi rent faktisk også får det udmøntet. Så jeg vil godt høre ordførerens synspunkt i forhold til dette, at der ikke ligger nogen klare forventninger til, hvornår sektorlovgivningen skal være på plads. Altså, strategien skal være på plads i 2012, men der ligger ikke nogen krav i forhold til sektorloven. ",0
38,"Helt overordnet vil det jo altid være sådan, at man, når det gælder en problemstilling som klima, som påvirker mange forskellige politikområder, naturligvis må gå til flere forskellige ministre. Det kommer man heller ikke uden om i en britisk kontekst, uanset om man har en klimalov eller ej. Jeg tror altså, at man skal se det på den måde, at udfordringen også med at få omstillet Danmark til at blive uafhængig af fossile brændsler er så betydelig, at det altså er vigtigt, at den bliver integreret i de enkelte politikområder såsom transport, såsom boligområdet, som vi allerede har været inde på. Så på den måde kommer der altså ikke til at være nogen klimazar, uanset om man får en klimalov eller ej; det vil være et emne, der vil være mange forskellige steder. ",1
39,"Hvordan Danmarks påvirkning af klimaet i verden er? Den er meget negativ. Vi er et af de meget rige lande i verden, og vi er et af de lande, som per indbygger udleder rigtig meget CO 2 , så derfor er vi et af de lande, som virkelig skal lægge sig i selen for at blive meget, meget bedre i forhold til klimaet. Vi skal have reduceret vores CO 2 -udledning, vi skal have lavet mere vedvarende energi, og vi skal i det hele taget blive meget mere klimavenlige i Danmark. ",1
40,"Danmark er i en økonomisk vanskelig situation lige nu, men det er jo alene – alene – at betragte som et udsving i forhold til resten af verden. Hvis ordføreren havde stået nede i Mali sammen med mig og set konsekvenserne af klimaforandringerne, når regnen udebliver i et lille landbrugssamfund, hvor man ganske enkelt ikke får mad på bordet, fordi der er klimaforandringer – så ville han forstå, at der er temmelig stor forskel mellem rigdommen i Danmark og i Mali og mellem rigdommen i Danmark og i en lang række lande i verden. Det er faktisk det, der er det væsentlige, og det er derfor, Danmark har en forpligtelse. Og hvad er det for en forpligtelse, vi har? Jo, det er, at vi skal være fuldstændig fri for fossile brændsler i 2050. Det er målsætningen. ",1
41,"Gør det slet ikke noget indtryk på SF's ordfører, at den udledning, Danmark præsterer, er så minimal? Det er ikke, fordi vi ikke skal forsøge at gøre et eller andet ved det, men der skal altså være mening med galskaben, og der skal være fornuft i tiltagene. Med den hast, venstrefløjen siger at vi skal gå fra det forbrug af fossile brændstoffer, vi har nu, og over til vedvarende energi og lynhurtigt reducere alting, jamen altså, det er jo kropumuligt, det er jo kropumuligt. Gør det ikke indtryk, at det er minimale mængder, Danmark leder ud? ",0
42,"Jeg synes ikke, det skorter på dansk forpligtelse, for vi har jo forpligtet os på en række områder. Nu er det jo ikke miljø- og vanddirektiver, vi diskuterer lige nu, men når jeg refererede til »Grøn Vækst«, var det, fordi der i »Grøn Vækst« netop er en bemærkning om, at vi har en ambition om så hurtigt som overhovedet muligt at give et bud på, hvornår vi bliver uafhængige af fossilt brændsel. Det er den ene ting, og en anden ting er, at der jo i »Grøn Vækst« netop også er nævnt en reduktion på omkring 800.000 t af CO 2 -emissionen. ",1
43,"Jeg vil godt spørge, om herre Jens Kirk ikke kan bekræfte, at de penge, som er afsat til tilskud, hvis man skrotter et gammelt oliefyr, kan man sådan set bruge til at købe et nyt oliefyr for. Der er jo ikke nogen betingelser om, at pengene skal gå til noget, der handler om vedvarende energi. Det andet, jeg godt vil spørge herre Jens Kirk om, er: Når der nu ikke sker noget ude i den virkelige verden med hensyn til det her med energirenovering, hvad er forklaringen så? Tror herre Jens Kirk på, at det er kampagner, der skal til, at kampagner vil rykke ved, hvad der sker ude i den virkelige verden? Eller er herre Jens Kirk trods alt stadig væk så meget jyde, at han inderst inde godt ved, at gulerødder, økonomiske incitamenter, godt kan virke? ",0
44,"Jeg vil bare sige til det med oliefyr, at jeg tror, at herre Jens Kirk i hvert fald ikke skal begå den fejl at tro, at laver man en skrotningsordning for gamle oliefyr, der fører til, at folk køber nye oliefyr, betyder det, at vi så kommer ud af afhængigheden af fossile brændstoffer, og at vi får vedvarende energi, for det er der ingen automatik i – måske nærmere det modsatte. Jeg vil godt igen spørge herre Jens Kirk om det, som var kernen i mit første spørgsmål: Når det nu ikke er det, at det er svært at låne penge billigt nok, der gør, at der ikke sker nogen egentlig bevægelse på det her område ude i den virkelige verden, hvad er forklaringen så, og hvad skal der til? Er herre Jens Kirk enig i, at det, der skal til, er det, som ministeren siger, nemlig en informationskampagne? ",0
45,"Det fremgår jo af forslaget, at man skal kunne låne op til 25 procent til investeringerne. Totalt set tror jeg simpelt hen ikke på, at det vil reducere den totale energiudgift, en husstand har, når man låner til en sådan ting. Jeg tror ikke på, at det hænger sammen. Jeg tror, at det totalt set alligevel vil ende op med, at husholdningerne får en øget udgift, blandt andet også – hvilket jeg vil erkende at Enhedslisten ikke har indflydelse på – fordi energipriserne fremover stiger kraftigt. Men det er sådan set også derfor, jeg har fastslået, at vi er meget interesseret i, at vi gør os fri af fossile brændstoffer. Men altså, det skal ske i en takt, som det danske samfund kan kapere. ",0
46,"Det er bare lige for at rette den misforståelse, som herre Per Clausen jo åbenbart har givet udtryk for i forbindelse med regeringens klimakommission. Jeg sagde ikke, at man slavisk ville følge Klimakommissionens anbefalinger, det er jo trods alt en politisk proces, der skal være på baggrund af dem. Det, jeg sagde – og det synes jeg er væsentligt – var, at vi ikke bare kommer med et bud på, hvornår Danmark kan være fri for fossile brændsler, men vi kommer også med et bud på hvordan – eller det gør kommissionen – og på den baggrund kan vi så træffe fornuftige politiske beslutninger. ",1
47,"Det er jo rigtigt, at økologisk landbrug ikke fylder halvdelen af dansk landbrug, det fylder vel en 6-7 procent, men det var sådan set mere princippet, jeg var interesseret i. Nu er 6-7 procent jo heller ikke helt ligegyldigt i forhold til den udledning, der foregår, men jeg var mere interesseret i princippet. Synes Dansk Folkeparti virkelig, det er rimeligt, at hver gang en landmand vil omlægge og spare vandmiljøet for en forøget kvælstofudledning, betyder det bare, at en anden landmand kan forøge forbruget, og at man dermed overhovedet ikke får noget ud af at få flere økologer? Synes ordføreren virkelig, det er en rimelig måde at gøre tingene på? ",0
48,"Jeg er altså af den holdning, at hvis man nedsætter en kommission til at udrede et stykke arbejde, skal der også være et reelt argument for, at man netop nedsætter kommissionen. Den miljølovgivning, som vi har i Danmark, gælder nu, gælder efterfølgende og gælder også for de større landbrug. Så vil jeg gerne orientere om, at på et større landbrug, som får lavet en VVM-redegørelse, som får lavet en miljøgodkendelse, er der langt, langt mere styr på netop udledningen fra virksomheden; der kender man resultatet af det, inden man begynder produktionen. Der, hvor man lægger grænsen under den, der gælder ved en miljø- og VVM-godkendelse, har man ikke kontrol med udledningen og med, hvor stor udledningen er. Så der er også styr på hele miljøkonsekvensen i forbindelse med »Grøn Vækst«. ",0
